client_id,name,email,date_of_birth,country,account_balance
505541ab-7065-4d5c-820e-287b2321e15f,Client 61,client61@example.com,1994-09-15,Canada,54091.35
d7acc2db-f941-4faa-bc62-c91a59b6c5b5,Client 62,client62@example.com,1994-09-14,Germany,40006.87
82941abd-15ef-4754-98ec-f2c7e0c7175e,Client 63,client63@example.com,1994-09-13,USA,10514.81
44ffc453-ca10-4b80-9ea5-d1ad71e1e7ff,Client 64,client64@example.com,1994-09-12,USA,12688.33
7c6d7862-38d6-4916-9935-cd0bf26136a2,Client 65,client65@example.com,1994-09-11,UK,46975.1
7155842a-bc11-48cd-964a-5f7102229084,Client 66,client66@example.com,1994-09-10,USA,98342.63
b023700c-788d-4117-9857-168ff95bb470,Client 67,client67@example.com,1994-09-09,Germany,89266.43
ea4a33c1-fdac-4c79-beb8-f033b29385ee,Client 68,client68@example.com,1994-09-08,USA,61533.99
a9c3137d-1736-4a7e-a288-ce0869c42e05,Client 69,client69@example.com,1994-09-07,Germany,44599.89
ecb9878a-1982-4015-aa32-9a80dafaa9e4,Client 70,client70@example.com,1994-09-06,UK,85095.83
9f39bf64-05ef-4617-aeaa-259ea5122051,Client 71,client71@example.com,1994-09-05,USA,45541.69
064b3127-eb0e-4f64-a79a-fdf3282fb3fa,Client 72,client72@example.com,1994-09-04,France,97034.47
4ea3ecdb-5db1-4b93-a194-4155dceed1b0,Client 73,client73@example.com,1994-09-03,USA,21509.55
dd7a3601-d0c2-411e-a34c-bd7ff08ba19c,Client 74,client74@example.com,1994-09-02,France,151.77
db541c33-c535-4272-af5c-d64cc13832ac,Client 75,client75@example.com,1994-09-01,USA,91021.75
e86550a1-9837-469b-b708-5d6f66385b55,Client 76,client76@example.com,1994-08-31,UK,43497.97
d67261c9-e59a-4e02-a430-c11c305336e5,Client 77,client77@example.com,1994-08-30,Canada,43126.12
9127d525-0440-4959-baea-c8c57fd14b39,Client 78,client78@example.com,1994-08-29,USA,71246.77
61ea56e2-fce2-47cb-a76b-bf3819a88c50,Client 79,client79@example.com,1994-08-28,USA,26414.85
f8e3bf62-ab86-4963-8f84-1830465d87a3,Client 80,client80@example.com,1994-08-27,USA,55333.86
c788fff7-c8e5-480d-ba16-634be64b9a4d,Client 81,client81@example.com,1994-08-26,UK,11910.59
448b381f-317e-468c-a790-0cc78af5571d,Client 82,client82@example.com,1994-08-25,UK,26449.38
ba299cfc-e195-47fb-9c60-8dc111e661b1,Client 83,client83@example.com,1994-08-24,USA,15211.87
346c06ef-56ad-42d7-93af-7bb36aeb68cd,Client 84,client84@example.com,1994-08-23,USA,87691.36
6c8babb7-0c0f-4d6b-81c7-3618e00f1cb2,Client 85,client85@example.com,1994-08-22,UK,97521.59
96d35636-b112-4bc5-9b3f-d7ec92421e87,Client 86,client86@example.com,1994-08-21,Germany,63977.71
05f1c78b-ab42-4a8e-8077-71489a0fa7ee,Client 87,client87@example.com,1994-08-20,Germany,77528.2
6ed94c77-6c2c-4039-901f-e640ee2ca87e,Client 88,client88@example.com,1994-08-19,France,49722.32
677afd5e-4273-4e0d-a3a8-242cf94cc1d9,Client 89,client89@example.com,1994-08-18,UK,74622.63
e3b02b11-9d03-4002-8053-b8ef290524df,Client 90,client90@example.com,1994-08-17,Germany,81829.55
4b0a8db7-3ecc-4b68-af9e-2b746c66d909,Client 91,client91@example.com,1994-08-16,Canada,96600.08
17fccef0-af81-4891-a729-8f120d918c62,Client 92,client92@example.com,1994-08-15,Germany,25939.1
a30cbb88-d57b-4f00-ba4a-f2cbcd369311,Client 93,client93@example.com,1994-08-14,UK,12094.33
8bc57dbd-bad4-4e26-89f7-29f874b2c834,Client 94,client94@example.com,1994-08-13,UK,18000.77
e8543a79-73e5-43ac-aba3-edf1f854e9f0,Client 95,client95@example.com,1994-08-12,France,76223.8
25bb570a-bb5a-4606-8aa1-698c969e395c,Client 96,client96@example.com,1994-08-11,UK,16234.75
2633ca4e-6969-4991-b379-8f929e13fe75,Client 97,client97@example.com,1994-08-10,France,64492.9
a74a4928-4631-4b9d-a573-d626fbd32cf0,Client 98,client98@example.com,1994-08-09,Canada,14233.62
b320b72e-6439-4a9e-a2f2-af2b41efb627,Client 99,client99@example.com,1994-08-08,USA,1006.56
